Method, Contexts, Application?, Dirty?
"<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void access$000(sun.misc.FloatingDecimal$BinaryToASCIIBuffer,boolean)>", 1, 0, 0
"<sun.misc.FDBigInteger: sun.misc.FDBigInteger big5pow(int)>", 1, 0, 0
"<java.lang.String: java.lang.String toString()>", 1, 0, 1
"<java.util.ArrayList$Itr: void checkForComodification()>", 4, 0, 0
"<java.lang.IllegalArgumentException: void <init>(java.lang.String,java.lang.Throwable)>", 1, 0, 0
"<sun.misc.FloatingDecimal: sun.misc.FloatingDecimal$BinaryToASCIIConverter getBinaryToASCIIConverter(double,boolean)>", 1, 0, 0
"<java.lang.IllegalStateException: void <init>(java.lang.String,java.lang.Throwable)>", 1, 0, 0
"<sun.misc.FDBigInteger: void trimLeadingZeros()>", 17, 0, 0
"<java.util.NoSuchElementException: void <init>()>", 1, 0, 0
"<com.ibm.example.irs.Employee: int getEmployeeId()>", 1, 0, 0
"<java.lang.reflect.Array: java.lang.Object newInstance(java.lang.Class,int)>", 1, 0, 0
"<com.ibm.example.irs.BusinessProcess: java.util.List getAllEmployers()>", 1, 1, 0
"<com.ibm.example.irs.Salary: void setEmployerId(int)>", 2, 0, 0
"<com.ibm.example.irs.Salary: void setEmployeeId(int)>", 2, 0, 0
"<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void roundup()>", 1, 0, 0
"<com.ibm.example.irs.BusinessProcess: void test_2()>", 1, 1, 0
"<java.lang.Long: int numberOfLeadingZeros(long)>", 1, 0, 0
"<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void developLongDigits(int,long,int)>", 1, 0, 0
"<java.util.ArrayList: java.util.Iterator iterator()>", 3, 0, 0
"<java.lang.AbstractStringBuilder: int hugeCapacity(int)>", 24, 0, 1
"<java.lang.Integer: int stringSize(int)>", 1, 0, 1
"<java.lang.Long: int stringSize(long)>", 1, 0, 0
"<java.lang.RuntimeException: void <init>()>", 3, 0, 0
"<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>", 35, 0, 1
"<java.lang.Long: int numberOfTrailingZeros(long)>", 1, 0, 0
"<sun.misc.FloatingDecimal$BinaryToASCIIBuffer: void access$100(sun.misc.FloatingDecimal$BinaryToASCIIBuffer,int,long,int,boolean)>", 1, 0, 0
"<sun.misc.FDBigInteger: sun.misc.FDBigInteger leftShift(int)>", 2, 0, 0
"<java.lang.StringBuilder: void <init>()>", 3, 0, 1
"<com.ibm.example.irs.IRS: java.util.List getSalaryList()>", 2, 0, 0
"<java.util.ConcurrentModificationException: void <init>()>", 2, 0, 0
"<java.lang.StringBuilder: java.lang.String toString()>", 24, 0, 1
"<java.lang.AssertionError: void <init>(java.lang.String)>", 13, 0, 0
"<java.util.AbstractList: void <init>()>", 4, 0, 0
"<java.lang.String: java.lang.String valueOf(double)>", 1, 0, 0
"<com.ibm.example.irs.IRS: void setSalaryList(java.util.List)>", 3, 0, 0
"<java.lang.AssertionError: void <init>(long)>", 2, 0, 0
"<java.lang.AssertionError: void <init>(java.lang.Object)>", 1, 0, 0
"<java.lang.IndexOutOfBoundsException: void <init>(java.lang.String)>", 6, 0, 1
"<java.util.ArrayList: void grow(int)>", 8, 0, 0
"<java.lang.StringIndexOutOfBoundsException: void <init>(int)>", 6, 0, 1
"<sun.misc.FDBigInteger: long multDiffMe(long,sun.misc.FDBigInteger)>", 2, 0, 0
"<java.lang.Error: void <init>()>", 4, 0, 1
"<java.lang.String: void <init>(char[],boolean)>", 2, 0, 0
"<java.util.ArrayList: int calculateCapacity(java.lang.Object[],int)>", 5, 0, 0
"<sun.misc.FDBigInteger: void mult(int[],int,int[],int,int[])>", 1, 0, 0
"<java.util.ArrayList: int hugeCapacity(int)>", 1, 0, 0
