FcpaEdges, SparkEdges, Context, CallSite
1, 1, 1, "specialinvoke $r0.<com.ibm.example.irs.BusinessProcess: void test_2()>()"
1, 1, 1, "specialinvoke $r0.<com.ibm.example.irs.BusinessProcess: void <init>()>()"
1, 1, 2, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 4, "$r40 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>($i8)"
1, 1, 4, "$i2 = virtualinvoke $r0.<com.ibm.example.irs.IRS: int getYear()>()"
1, 1, 4, "$r50 = virtualinvoke $r49.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(": ")"
1, 1, 4, "virtualinvoke r7.<com.ibm.example.irs.BusinessProcess: void genSalarySlip(com.ibm.example.irs.IRS)>($r0)"
1, 1, 4, "$d1 = virtualinvoke $r29.<com.ibm.example.irs.Employee: double getRate()>()"
1, 1, 4, "$r53 = virtualinvoke $r52.<java.lang.StringBuilder: java.lang.String toString()>()"
-1, 0, 4, "$i4 = virtualinvoke r56.<com.ibm.example.irs.Salary: int getEmployeeId()>()"
1, 1, 4, "r32 = interfaceinvoke r58.<java.util.List: java.util.Iterator iterator()>()"
1, 1, 4, "$r21 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r20)"
1, 1, 4, "virtualinvoke $r30.<com.ibm.example.irs.Salary: void setEmployerId(int)>(1)"
1, 1, 4, "$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 4, "r55 = interfaceinvoke r54.<java.util.List: java.util.Iterator iterator()>()"
1, 1, 4, "virtualinvoke $r0.<com.ibm.example.irs.IRS: void setSalaryList(java.util.List)>($r2)"
1, 1, 4, "$r27 = virtualinvoke $r25.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r26)"
1, 1, 4, "virtualinvoke $r0.<com.ibm.example.irs.IRS: void setSalaryList(java.util.List)>(r58)"
1, 1, 4, "$r11 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.String toString()>()"
-1, 0, 4, "$d0 = virtualinvoke r56.<com.ibm.example.irs.Salary: double getSalary()>()"
1, 1, 4, "$z2 = interfaceinvoke r32.<java.util.Iterator: boolean hasNext()>()"
-1, 0, 4, "$i7 = virtualinvoke r34.<com.ibm.example.irs.Salary: int getEmployerId()>()"
1, 1, 4, "specialinvoke $r29.<com.ibm.example.irs.Employee: void <init>(int,java.lang.String,int,double)>(33, "Kate", 40, 32.0)"
1, 1, 4, "virtualinvoke $r0.<com.ibm.example.irs.IRS: void setYear(int)>(100)"
-1, 0, 4, "$i3 = virtualinvoke r56.<com.ibm.example.irs.Salary: int getEmployerId()>()"
1, 1, 4, "$r51 = staticinvoke <java.lang.String: java.lang.String valueOf(double)>($d5)"
1, 1, 4, "$i9 = virtualinvoke $r29.<com.ibm.example.irs.Employee: int getEmployeeId()>()"
-1, 0, 4, "virtualinvoke $r16.<java.io.PrintStream: void println(java.lang.String)>("In BuisnessProcess, test_2")"
1, 1, 4, "virtualinvoke $r30.<com.ibm.example.irs.Salary: void setEmployeeId(int)>($i5)"
-1, 0, 4, "virtualinvoke $r36.<java.io.PrintStream: void println(java.lang.String)>($r45)"
-1, 0, 4, "virtualinvoke $r9.<java.io.PrintStream: void println(java.lang.String)>($r11)"
-1, 0, 4, "virtualinvoke $r31.<java.io.PrintStream: void println(java.lang.String)>("In BuisnessProcess, test_2")"
1, 1, 4, "$r38 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>($r37)"
1, 1, 4, "specialinvoke $r35.<java.lang.StringBuilder: void <init>(java.lang.String)>($r38)"
1, 1, 4, "specialinvoke $r3.<java.lang.StringBuilder: void <init>(java.lang.String)>("1: ")"
1, 1, 4, "$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()"
-1, 0, 4, "virtualinvoke $r19.<java.io.PrintStream: void println(java.lang.String)>($r28)"
1, 1, 4, "$r17 = interfaceinvoke r55.<java.util.Iterator: java.lang.Object next()>()"
1, 1, 4, "$r44 = virtualinvoke $r42.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r43)"
1, 1, 4, "$r48 = virtualinvoke $r29.<com.ibm.example.irs.Employee: java.lang.String getName()>()"
1, 1, 4, "$r24 = virtualinvoke $r22.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r23)"
1, 1, 4, "specialinvoke $r12.<java.lang.StringBuilder: void <init>(java.lang.String)>("3: ")"
1, 1, 4, "$i5 = virtualinvoke $r29.<com.ibm.example.irs.Employee: int getEmployeeId()>()"
1, 1, 4, "$i6 = virtualinvoke $r29.<com.ibm.example.irs.Employee: int getHours()>()"
1, 1, 4, "r54 = virtualinvoke $r0.<com.ibm.example.irs.IRS: java.util.List getSalaryList()>()"
1, 1, 4, "$r33 = interfaceinvoke r32.<java.util.Iterator: java.lang.Object next()>()"
1, 1, 4, "$r5 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i0)"
-1, 0, 4, "$i8 = virtualinvoke r34.<com.ibm.example.irs.Salary: int getEmployeeId()>()"
1, 1, 4, "$r37 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>($i7)"
1, 1, 4, "interfaceinvoke r58.<java.util.List: boolean add(java.lang.Object)>($r30)"
1, 1, 4, "$i0 = virtualinvoke $r0.<com.ibm.example.irs.IRS: int getYear()>()"
1, 1, 4, "$r45 = virtualinvoke $r44.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 4, "specialinvoke $r18.<java.lang.StringBuilder: void <init>(java.lang.String)>($r21)"
1, 1, 4, "specialinvoke $r46.<java.lang.StringBuilder: void <init>(java.lang.String)>("Salary for ")"
-1, 0, 4, "virtualinvoke $r13.<java.io.PrintStream: void println(java.lang.String)>($r15)"
1, 1, 4, "$r39 = virtualinvoke $r35.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",")"
1, 1, 4, "r58 = virtualinvoke $r0.<com.ibm.example.irs.IRS: java.util.List getSalaryList()>()"
-1, 0, 4, "virtualinvoke $r4.<java.io.PrintStream: void println(java.lang.String)>($r6)"
1, 1, 4, "virtualinvoke $r30.<com.ibm.example.irs.Salary: void setSalary(double)>($d3)"
1, 1, 4, "$r41 = virtualinvoke $r39.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r40)"
1, 1, 4, "specialinvoke $r8.<java.lang.StringBuilder: void <init>(java.lang.String)>("2: ")"
1, 1, 4, "$r14 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i2)"
-1, 0, 4, "$d5 = virtualinvoke r60.<com.ibm.example.irs.Salary: double getSalary()>()"
1, 1, 4, "$r26 = staticinvoke <java.lang.String: java.lang.String valueOf(double)>($d0)"
1, 1, 4, "$r49 = virtualinvoke $r46.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r48)"
1, 1, 4, "$r25 = virtualinvoke $r24.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",")"
1, 1, 4, "r60 = virtualinvoke $r0.<com.ibm.example.irs.IRS: com.ibm.example.irs.Salary getSalaryfromIRS(int)>($i9)"
1, 1, 4, "specialinvoke $r2.<java.util.ArrayList: void <init>()>()"
1, 1, 4, "specialinvoke $r0.<com.ibm.example.irs.IRS: void <init>()>()"
1, 1, 4, "$z0 = interfaceinvoke r55.<java.util.Iterator: boolean hasNext()>()"
1, 1, 4, "$i1 = virtualinvoke $r0.<com.ibm.example.irs.IRS: int getYear()>()"
